City_ID,City,Country,Max Temp,lat,lng,Current Description,Hotel Name
372,Puerto Lempira,HN,79.27,15.2667,-83.7667,light rain,Hotel Samaritano
383,Rivadavia,AR,87.42,-33.1905,-68.4608,overcast clouds,Hotel Pasambay
413,Dickinson,US,81.16,29.4608,-95.0513,scattered clouds,Days Inn by Wyndham Dickinson TX
418,Upington,ZA,97.18,-28.4478,21.2561,few clouds,Die Eiland Holiday Ressort
434,Kununurra,AU,78.78,-15.7667,128.7333,scattered clouds,Kununurra Country Club Resort
436,Kahului,US,75.85,20.8947,-156.47,clear sky,Maui Seaside Hotel
437,Bubaque,GW,77.88,11.2833,-15.8333,clear sky,Chez Julio
439,Salta,AR,92.57,-24.7859,-65.4117,few clouds,Ayres de Salta Hotel
444,Grand Gaube,MU,79.2,-20.0064,57.6608,moderate rain,Coco Villa
463,Dom Pedrito,BR,97.03,-30.9828,-54.6731,heavy intensity rain,Hotel Alexandre
471,Gurupi,BR,83.79,-11.7292,-49.0686,light rain,Via Norte
477,Karratha,AU,86.83,-20.7377,116.8463,clear sky,Karratha International Hotel
479,Makakilo City,US,76.6,21.3469,-158.0858,clear sky,Embassy Suites by Hilton Oahu Kapolei
482,Azua,DO,84.99,18.4532,-70.7349,light rain,Hotel Montemar
486,Vao,NC,75.4,-22.6667,167.4833,clear sky,Nataiwatch
507,Barra Do Garcas,BR,75.78,-15.89,-52.2567,thunderstorm with light rain,Pousada Portal
508,Xapuri,BR,90.46,-10.6517,-68.5044,broken clouds,Pousada Chapurys
509,Pallavaram,IN,75.11,12.9761,80.1836,mist,ML Residency
510,Kavieng,PG,80.37,-2.5744,150.7967,moderate rain,Kavieng Hotel
511,Mananara,MG,76.39,-16.1667,49.7667,moderate rain,Chez Roger
514,Cosala,MX,86.67,24.4125,-106.6908,clear sky,Hotel Quinta Minera
519,Neiafu,TO,79.48,-18.65,-173.9833,broken clouds,Port Wine Guest House
522,Quelimane,MZ,82.35,-17.8786,36.8883,few clouds,Mabassa
527,Fort Myers Beach,US,75.06,26.452,-81.9481,clear sky,Key Estero Shops
538,San Rafael,AR,82.76,-34.6177,-68.3301,overcast clouds,Hotel Regional
540,Daru,PG,75.34,-9.0763,143.2092,overcast clouds,Kuki
541,George Town,MY,80.53,5.4112,100.3354,light rain,Page 63 hostel
542,Uaua,BR,89.56,-9.8414,-39.4817,overcast clouds,Hotel Uauá
543,Saltillo,MX,75.29,25.4167,-101.0,clear sky,Hotel Colonial
555,Dolores,AR,84.83,-36.3132,-57.6792,light rain,Plaza Hotel
557,Bom Jesus,BR,88.41,-9.0744,-44.3586,broken clouds,Hotel Brasão
562,Tarakan,ID,79.23,3.3,117.6333,overcast clouds,Hotel Dynasty
564,Rocha,UY,84.7,-34.4833,-54.3333,overcast clouds,Hotel Municipal
575,Lhokseumawe,ID,75.9,5.1801,97.1507,overcast clouds,Vina Vira Hotel
576,Mahajanga,MG,80.62,-15.7167,46.3167,light rain,Vahiny Hotel
580,Port Hedland,AU,78.85,-20.3167,118.5667,broken clouds,The Esplanade Hotel
591,West Bay,KY,84.27,19.3667,-81.4167,few clouds,Bonnie's Arch
592,Ambon,ID,75.34,-3.6954,128.1814,thunderstorm with light rain,Hotel Hero
594,Praia,CV,77.54,14.9215,-23.5087,clear sky,Casa Sodadi
597,Pimenta Bueno,BR,84.9,-11.6725,-61.1936,overcast clouds,Cristalina palace hotel
603,Fare,PF,77.0,-16.7,-151.0167,light rain,hôtel Maitai Lapita Village
615,Edgewater,US,76.28,28.9889,-80.9023,clear sky,Best Western Edgewater Inn
619,Sandakan,MY,78.48,5.8402,118.1179,scattered clouds,Hotel City Star
623,Calabozo,VE,95.47,8.9242,-67.4293,few clouds,Hotel Plaza Real
625,The Valley,AI,85.86,18.217,-63.0578,few clouds,CeBlue
634,Bougouni,ML,82.11,11.417,-7.479,broken clouds,Hotel Piemont
649,Tomatlan,MX,89.82,19.9333,-105.25,clear sky,Hotel Hacienda Vieja Tomatlan
660,Bull Savanna,JM,78.3,17.8868,-77.5902,scattered clouds,Junction Guest House
