City_ID,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cabo San Lucas,MX,22.8909,-109.9124,82.62,53,0,5.75,clear sky
80,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,97,5.75,overcast clouds
81,Bluff,NZ,-46.6,168.3333,54.5,70,84,10.71,broken clouds
82,Yellowknife,CA,62.456,-114.3525,5.52,85,75,4.61,light snow
83,Impfondo,CG,1.6381,18.0667,80.29,41,100,2.59,overcast clouds
84,Kapaa,US,22.0752,-159.319,71.58,89,75,5.75,broken clouds
85,Bereznik,RU,62.8551,42.7072,20.17,89,98,10.63,overcast clouds
86,Hualmay,PE,-11.0964,-77.6139,74.61,67,42,10.42,scattered clouds
87,Port Augusta,AU,-32.5,137.7667,72.36,61,8,6.58,clear sky
88,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,6.91,light snow
89,Dingle,PH,10.9995,122.6711,71.58,96,100,5.61,overcast clouds
90,Lensk,RU,60.7253,114.9278,-18.26,89,100,9.48,overcast clouds
91,Itarema,BR,-2.9248,-39.9167,84.34,64,5,16.69,clear sky
92,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.76,75,85,5.77,overcast clouds
93,Robertsport,LR,6.7533,-11.3686,80.94,82,10,10.74,clear sky
94,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,89,75,6.91,thunderstorm
95,Narsaq,GL,60.9167,-46.05,16.02,72,100,6.2,overcast clouds
96,Guane,CU,22.2025,-84.0875,82.15,41,0,7.02,clear sky
97,Nikolskoye,RU,59.7035,30.7861,26.49,91,100,12.44,overcast clouds
98,Amapa,BR,1.0,-52.0,86.11,54,45,6.17,scattered clouds
99,Palmas,BR,-10.2128,-48.3603,87.67,58,40,6.91,scattered clouds
100,Khatanga,RU,71.9667,102.5,-41.98,100,98,6.31,overcast clouds
101,Muroto,JP,33.2833,134.15,52.57,62,0,5.59,clear sky
102,Hudiksvall,SE,61.729,17.1036,39.04,84,79,15.5,broken clouds
103,Hithadhoo,MV,-0.6,73.0833,80.47,76,100,11.86,overcast clouds
104,Luderitz,NA,-26.6481,15.1594,64.65,83,13,11.68,few clouds
105,Nador,MA,35.174,-2.9287,61.05,72,0,5.75,clear sky
106,Turukhansk,RU,65.8167,87.9833,-32.31,97,100,8.55,overcast clouds
107,Komsomolskiy,UZ,40.4272,71.7189,12.92,62,100,4.61,overcast clouds
108,Mahibadhoo,MV,3.7833,72.9667,80.15,73,99,9.89,overcast clouds
109,San Cristobal,VE,7.7669,-72.225,77.18,63,55,4.7,broken clouds
110,Maputo,MZ,-25.9653,32.5892,78.48,73,20,9.22,few clouds
111,Pisco,PE,-13.7,-76.2167,75.02,83,20,8.05,few clouds
112,Biak,ID,-0.9131,122.8766,75.63,82,100,1.07,overcast clouds
113,Tiksi,RU,71.6872,128.8694,-40.61,98,93,4.43,overcast clouds
114,Svarstad,NO,59.399,9.9698,42.82,53,88,5.99,overcast clouds
115,Pacific Grove,US,36.6177,-121.9166,55.42,90,100,5.01,light rain
116,Great Yarmouth,GB,52.6083,1.7305,46.65,88,100,20.24,overcast clouds
117,Rio Gallegos,AR,-51.6226,-69.2181,64.45,42,75,16.11,broken clouds
118,Yerofey Pavlovich,RU,53.9667,121.9667,1.63,97,100,2.98,overcast clouds
119,Torbay,CA,47.6666,-52.7314,25.57,86,75,16.11,broken clouds
120,Tobetsu,JP,43.2169,141.5169,27.64,92,100,4.14,overcast clouds
121,Kungurtug,RU,50.5994,97.5228,-7.38,99,100,3.49,overcast clouds
122,Uruzgan,AF,32.8333,66.0,31.82,89,54,2.68,broken clouds
123,Agadez,NE,19.75,10.25,57.78,24,0,7.09,clear sky
124,Castro,BR,-24.7911,-50.0119,73.13,78,100,6.33,overcast clouds
125,Butaritari,KI,3.0707,172.7902,81.0,79,25,18.75,light rain
126,Alta Floresta,BR,-9.8756,-56.0861,82.02,71,100,2.1,overcast clouds
127,Bredasdorp,ZA,-34.5322,20.0403,69.6,79,100,9.4,overcast clouds
128,Hirara,JP,24.8,125.2833,70.47,79,59,22.41,broken clouds
129,Cayenne,GF,4.9333,-52.3333,82.44,78,40,8.05,light rain
130,Ewa Beach,US,21.3156,-158.0072,78.01,82,0,4.61,clear sky
131,Vila Velha,BR,-20.3297,-40.2925,85.95,75,20,17.27,few clouds
132,Carnarvon,AU,-24.8667,113.6333,73.54,68,0,18.1,clear sky
133,San Julian,MX,21.0167,-102.1667,69.58,24,22,1.68,few clouds
134,Frontera,MX,26.9333,-101.45,84.33,17,14,1.99,few clouds
135,Pervomayskiy,RU,53.2485,40.2871,9.84,71,100,14.94,overcast clouds
136,Tiznit,MA,29.5833,-9.5,60.75,50,100,1.66,overcast clouds
137,Moyale,KE,3.5167,39.0584,74.88,37,5,13.65,clear sky
138,Zhigansk,RU,66.7697,123.3711,-28.23,94,100,12.01,overcast clouds
139,Hovd,MN,48.0056,91.6419,-0.83,52,98,2.17,overcast clouds
140,Belmonte,BR,-15.8631,-38.8828,81.68,68,100,9.35,overcast clouds
141,Emerald,AU,-23.5333,148.1667,66.34,98,100,16.6,light rain
142,Ukiah,US,39.1502,-123.2078,50.14,94,100,1.01,mist
143,Maraa,BR,-1.8333,-65.3667,85.17,63,93,3.71,overcast clouds
144,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,light rain
145,Port Blair,IN,11.6667,92.75,75.24,88,20,0.0,mist
146,Qaanaaq,GL,77.484,-69.3632,-8.77,97,100,7.25,overcast clouds
147,Mandalgovi,MN,45.7625,106.2708,20.03,56,5,8.21,clear sky
148,Skibbereen,IE,51.55,-9.2667,51.12,93,100,32.82,light rain
149,Clyde River,CA,70.4692,-68.5914,5.23,56,100,5.75,overcast clouds
150,Lithgow,AU,-33.4833,150.15,54.27,96,2,1.54,clear sky
151,Jumla,NP,29.2747,82.1838,39.81,50,91,6.73,overcast clouds
152,Atar,MR,20.5169,-13.0499,74.25,9,0,7.58,clear sky
153,Yar-Sale,RU,66.8333,70.8333,-9.65,98,100,9.91,light snow
154,Egersund,NO,58.4513,5.9997,43.38,88,66,15.82,broken clouds
155,Quang Ngai,VN,15.1167,108.8,71.13,94,99,2.66,overcast clouds
156,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,8.99,broken clouds
157,Saint-Georges,GD,12.0564,-61.7485,83.88,74,40,14.97,light rain
158,Horta,PT,38.5333,-28.6333,62.24,88,75,8.99,broken clouds
159,Zyryanka,RU,65.75,150.85,-46.25,99,100,2.68,overcast clouds
160,Mar Del Plata,AR,-38.0023,-57.5575,75.22,76,40,12.66,scattered clouds
161,Truro,GB,50.2653,-5.0544,53.83,82,75,25.32,broken clouds
162,Kitimat,CA,54.0524,-128.6534,32.38,88,100,4.34,overcast clouds
163,Cidreira,BR,-30.1811,-50.2056,78.85,70,0,10.27,clear sky
164,Kieta,PG,-6.2167,155.6333,78.8,86,100,5.26,light rain
165,Campbell River,CA,50.0163,-125.2446,42.33,100,100,8.05,mist
166,Yatou,CN,37.15,122.3833,40.21,94,31,6.91,scattered clouds
167,Manyana,BW,-23.4,21.7167,83.71,21,37,7.76,scattered clouds
168,Zverinogolovskoye,RU,54.4586,64.8542,2.62,83,100,12.26,overcast clouds
169,Tshikapa,CD,-6.4167,20.8,68.22,98,100,2.64,overcast clouds
170,Asau,RO,46.4333,26.4,27.52,96,100,2.19,overcast clouds
171,Itoman,JP,26.1247,127.6694,68.02,68,75,17.27,broken clouds
172,Timmins,CA,48.4669,-81.3331,15.62,62,100,8.05,overcast clouds
173,Maraba,BR,-5.3686,-49.1178,82.58,94,100,1.14,moderate rain
174,Umm Lajj,SA,25.0213,37.2685,70.65,37,0,6.24,clear sky
175,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,80,0,2.3,clear sky
176,Carballo,ES,43.213,-8.691,53.87,88,24,4.12,few clouds
177,Sao Filipe,CV,14.8961,-24.4956,77.38,59,0,14.03,clear sky
178,Pangkalanbuun,ID,-2.6833,111.6167,72.66,97,94,2.59,overcast clouds
179,Sylacauga,US,33.1732,-86.2516,66.2,77,100,6.91,overcast clouds
180,Norman Wells,CA,65.282,-126.8329,-0.36,85,100,5.75,light snow
181,Channapatna,IN,12.65,77.2167,61.43,53,5,4.36,clear sky
182,Kaitangata,NZ,-46.2817,169.8464,53.28,79,100,8.1,overcast clouds
183,Lebu,CL,-37.6167,-73.65,59.95,62,0,22.77,clear sky
184,Acapulco,MX,16.8634,-99.8901,85.82,51,0,9.22,clear sky
185,Hilo,US,19.7297,-155.09,79.29,58,0,8.05,clear sky
186,Abha,SA,18.2164,42.5053,57.02,82,20,9.22,few clouds
187,Pinega,RU,64.7001,43.3936,25.5,92,100,11.72,overcast clouds
188,Padang,ID,-0.9492,100.3543,75.25,85,100,2.98,light rain
189,Turinskaya Sloboda,RU,57.6232,64.3858,10.06,73,99,15.7,overcast clouds
190,Banjar,ID,-8.19,114.9675,76.37,89,95,6.24,overcast clouds
191,Nome,US,64.5011,-165.4064,20.16,93,100,18.41,snow
192,Gorontalo,ID,0.5412,123.0595,74.71,96,100,4.59,overcast clouds
193,Vanino,RU,49.0869,140.2543,5.83,98,100,3.85,overcast clouds
194,Saskylakh,RU,71.9167,114.0833,-43.69,100,100,3.71,overcast clouds
195,Novikovo,RU,51.1537,37.8879,11.08,73,91,13.78,overcast clouds
196,Upernavik,GL,72.7868,-56.1549,-19.59,83,37,3.09,scattered clouds
197,Dalby,AU,-27.1833,151.2667,67.98,81,100,1.99,overcast clouds
198,Garh Maharaja,PK,30.8339,71.9053,54.55,48,0,7.52,clear sky
199,Guerrero Negro,MX,27.9769,-114.0611,66.74,61,5,17.36,clear sky
200,Iquitos,PE,-3.7481,-73.2472,80.64,83,75,2.3,broken clouds
201,Marsa Matruh,EG,31.3525,27.2453,59.9,58,100,16.67,light rain
202,San Lazaro,BZ,18.0387,-88.6622,79.74,70,44,6.53,moderate rain
203,Ancud,CL,-41.8697,-73.8203,58.26,61,68,9.37,broken clouds
204,New Glasgow,CA,45.5834,-62.6486,24.78,67,62,10.63,broken clouds
205,Lavrentiya,RU,65.5833,-171.0,-0.47,95,100,11.18,light snow
206,Kapoeta,SS,4.7717,33.5903,83.1,35,100,1.1,overcast clouds
207,Kidal,ML,18.4411,1.4078,66.51,14,2,10.98,clear sky
208,Nosy Varika,MG,-20.5833,48.5333,75.42,89,100,4.85,moderate rain
209,Lorengau,PG,-2.0226,147.2712,80.08,81,100,6.98,overcast clouds
210,Wasilla,US,61.5814,-149.4394,30.94,68,100,12.66,overcast clouds
211,Naze,JP,28.3667,129.4833,61.72,63,96,12.95,overcast clouds
212,Cockburn Town,TC,21.4612,-71.1419,77.34,74,40,11.43,scattered clouds
213,Manjacaze,MZ,-24.7117,33.8828,70.57,82,0,5.66,clear sky
214,Inirida,CO,3.8653,-67.9239,77.65,88,99,1.77,overcast clouds
215,Saint-Francois,FR,46.4154,3.9054,44.04,86,0,5.75,clear sky
