City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sawtell,AU,2022-12-07 17:10:43,-30.3833,153.1,69.82,88,75,6.91
68,Gat,IL,2022-12-07 17:10:43,31.61,34.7642,65.08,100,36,3.09
69,Rawson,AR,2022-12-07 17:06:20,-43.3002,-65.1023,74.88,38,100,5.32
70,Mataura,NZ,2022-12-07 17:10:44,-46.1927,168.8643,46.63,88,99,4.0
71,Ilhabela,BR,2022-12-07 17:10:45,-23.7781,-45.3581,79.32,81,34,7.45
72,Avera,US,2022-12-07 17:10:45,33.194,-82.5271,73.38,73,30,8.48
73,Fortuna,US,2022-12-07 17:10:45,40.5982,-124.1573,39.92,96,100,9.22
74,Ambilobe,MG,2022-12-07 17:10:46,-13.2,49.05,78.21,77,79,3.49
75,Saint George,US,2022-12-07 17:05:50,37.1041,-113.5841,39.79,87,100,6.91
76,Kaeo,NZ,2022-12-07 17:10:46,-35.1,173.7833,59.23,95,100,19.39
77,Cockburn Town,TC,2022-12-07 17:10:46,21.4612,-71.1419,77.83,56,35,17.05
78,Kununurra,AU,2022-12-07 17:10:47,-15.7667,128.7333,80.58,83,75,8.05
79,Rio Grande,BR,2022-12-07 17:10:47,-32.035,-52.0986,86.11,64,0,11.54
80,Lebu,CL,2022-12-07 17:10:48,-37.6167,-73.65,64.29,78,100,15.26
81,Thompson,CA,2022-12-07 17:10:48,55.7435,-97.8558,-13.99,90,100,7.67
82,Ribeira Grande,PT,2022-12-07 17:10:48,38.5167,-28.7,59.4,77,40,25.32
83,Cabo San Lucas,MX,2022-12-07 17:10:10,22.8909,-109.9124,82.51,74,20,0.0
84,Surt,LY,2022-12-07 17:10:49,31.2089,16.5887,73.6,36,79,12.55
85,Qaanaaq,GL,2022-12-07 17:10:49,77.484,-69.3632,23.34,69,75,23.96
86,Vanavara,RU,2022-12-07 17:10:49,60.34,102.2797,13.46,89,100,13.85
87,Butaritari,KI,2022-12-07 17:10:50,3.0707,172.7902,80.15,81,93,12.5
88,Ouargaye,BF,2022-12-07 17:10:50,11.5033,0.0572,90.57,14,37,6.8
89,Dalmatovo,RU,2022-12-07 17:10:51,56.26,62.9362,1.4,93,11,8.97
90,Upernavik,GL,2022-12-07 17:11:51,72.7868,-56.1549,23.14,72,98,9.6
91,Biak,ID,2022-12-07 17:11:52,-0.9131,122.8766,75.99,68,79,2.13
92,Lompoc,US,2022-12-07 17:11:52,34.6391,-120.4579,52.59,93,0,8.05
93,Bani Walid,LY,2022-12-07 17:11:52,31.7566,13.9942,68.54,30,64,11.5
94,Igarka,RU,2022-12-07 17:11:52,67.4667,86.5833,9.48,92,100,13.29
95,Nakasongola,UG,2022-12-07 17:11:53,1.3089,32.4564,70.77,70,89,2.51
96,Georgetown,MY,2022-12-07 16:59:41,5.4112,100.3354,81.23,92,20,0.0
97,Jinchang,CN,2022-12-07 17:11:53,38.4953,102.1739,23.4,58,100,3.42
98,Rabo De Peixe,PT,2022-12-07 17:11:54,37.8,-25.5833,58.51,100,75,33.38
99,Bad Goisern,AT,2022-12-07 17:11:54,47.6425,13.6161,35.37,100,98,1.19
100,Fredericton,CA,2022-12-07 17:00:09,45.9454,-66.6656,40.84,100,100,6.91
101,Khatanga,RU,2022-12-07 17:11:54,71.9667,102.5,-28.66,90,16,13.29
102,Aras,ES,2022-12-07 17:11:55,42.5617,-2.356,51.73,82,20,1.14
103,Petrovsk,RU,2022-12-07 17:09:09,52.3064,45.3917,9.55,76,2,10.16
104,Iracoubo,GF,2022-12-07 17:11:55,5.4802,-53.2011,84.79,67,7,10.96
105,Yurkivka,UA,2022-12-07 17:11:56,49.0126,31.1013,34.56,98,100,9.91
106,Hasaki,JP,2022-12-07 17:11:56,35.7333,140.8333,41.4,51,35,11.21
107,Saint-Philippe,RE,2022-12-07 17:11:56,-21.3585,55.7679,78.39,86,36,13.09
108,Mundo Nuevo,MX,2022-12-07 17:11:57,18.7,-95.5,76.82,78,57,6.29
109,Hilo,US,2022-12-07 17:11:57,19.7297,-155.09,72.25,93,20,5.75
110,Luderitz,NA,2022-12-07 17:11:57,-26.6481,15.1594,64.29,71,0,19.24
111,Sao Joao Da Barra,BR,2022-12-07 17:11:58,-21.6403,-41.0511,80.69,91,100,12.53
112,Linhares,BR,2022-12-07 17:11:58,-19.3911,-40.0722,74.39,88,100,3.47
113,Buta,CD,2022-12-07 17:11:58,2.7858,24.73,78.87,61,90,1.19
114,Yomou,GN,2022-12-07 17:11:59,7.5603,-9.2653,86.54,50,34,2.57
115,Sakakah,SA,2022-12-07 17:11:59,29.9697,40.2064,60.3,56,21,8.52
116,Geraldton,AU,2022-12-07 17:11:59,-28.7667,114.6,68.41,77,100,11.5
117,Sur,OM,2022-12-07 17:11:59,22.5667,59.5289,73.36,57,0,1.83
118,Torbay,CA,2022-12-07 17:12:00,47.6666,-52.7314,41.76,97,100,9.22
119,Harper,LR,2022-12-07 17:12:00,4.375,-7.7169,81.48,77,63,5.14
120,Iqaluit,CA,2022-12-07 17:12:01,63.7506,-68.5145,0.43,91,90,2.53
121,Juneau,US,2022-12-07 17:10:35,58.3019,-134.4197,39.22,97,100,17.27
122,Lorengau,PG,2022-12-07 17:12:01,-2.0226,147.2712,78.31,85,99,7.31
123,Xining,CN,2022-12-07 17:12:02,36.6167,101.7667,24.67,66,100,1.68
124,Yellowknife,CA,2022-12-07 17:12:02,62.456,-114.3525,-21.44,74,100,5.99
125,Seddon,AU,2022-12-07 17:12:03,-37.8068,144.8916,51.98,74,0,12.66
126,Carapegua,PY,2022-12-07 17:12:04,-25.8,-57.2333,98.22,29,14,4.68
127,Chokurdakh,RU,2022-12-07 17:12:04,70.6333,147.9167,-7.35,99,100,4.16
128,Beringovskiy,RU,2022-12-07 17:12:04,63.05,179.3167,9.0,68,2,10.87
